Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolúmenToneladas
2011,Julio,855,Vietnam,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,2500,18.63,32768.45,2.5
2011,Julio,239,Ecuador,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,43697,74.05,130886.33,43.7
2011,Julio,239,Ecuador,8,Atlántico,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,3500,12.54,22062.12,3.5
2011,Julio,239,Ecuador,11,Bogotá,1108120000 - Almidón de maíz.,Maiz,Almidones,KG,19006,36.42,63677.98,19.01
2011,Julio,239,Ecuador,11,Bogotá,1201001000 - Habas de soja (soya) para siembra.,Maiz,Soya,KG,2998,6.66,11754.17,3
2011,Julio,239,Ecuador,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,126150,158.11,278041.42,126.15
2011,Julio,239,Ecuador,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,28000,30.2,53071.97,28
2011,Julio,239,Ecuador,76,Valle del Cauca,1108120000 - Almidón de maíz.,Maiz,Almidones,KG,464675,317.31,559162.68,464.68
2011,Julio,239,Ecuador,76,Valle del Cauca,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,64000,62.21,109790.28,64
2011,Junio,628,Reino Unido,11,Bogotá,1005901200 - Maíz duro blanco.,Maiz,Maíz,KG,312.5,0.77,1374.37,0.31
2011,Julio,27,Aruba,47,Magdalena,"0714209000 - Los demás camotes (batatas- boniatos) frescos- refrigerados- congeladas o secos- incluso troceadas  o en ""pellets"".",Maiz,Raíces y tubérculos,KG,4500,1.6,2797.46,4.5
2011,Julio,27,Aruba,47,Magdalena,1005901100 - Maíz duro amarillo.,Maiz,Maíz,KG,65,0.19,323.46,0.07
2011,Julio,27,Aruba,68,Santander,1102200000 - Harina de maíz.,Maiz,Harinas,KG,40,0.02,41.96,0.04
2011,Julio,47,Antillas Holandesas,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,44000,44,77404.14,44
2011,Julio,149,Canadá,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,19700,21.81,38564.82,19.7
2011,Julio,196,Costa Rica,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,16900,19.5,34326.46,16.9
2011,Julio,196,Costa Rica,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,47000,50.52,89487.35,47
2011,Julio,245,España,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,110000,120.89,211873.38,110
2011,Julio,245,España,11,Bogotá,1108120000 - Almidón de maíz.,Maiz,Almidones,KG,840,1.68,2967.84,0.84
2011,Julio,245,España,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,64500,69.34,122438.47,64.5
2011,Julio,249,Estados Unidos,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,210960,210.96,369954.64,210.96
2011,Julio,249,Estados Unidos,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,17200,18.49,32590.29,17.2
2011,Julio,317,Guatemala,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,1700,12.66,22321.37,1.7
2011,Julio,317,Guatemala,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,59630,88.76,155621.65,59.63
2011,Julio,345,Honduras,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,20010,16.85,29731.6,20.01
2011,Julio,365,Indonesia,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,7500,55.88,98307.03,7.5
2011,Julio,386,Italia,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,22000,24.24,42646.4,22
2011,Julio,431,Líbano,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,22000,22,38519.8,22
2011,Julio,493,México,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,22000,21.85,38442.45,22
2011,Julio,573,Países Bajos,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,66000,70.07,122685.53,66
2011,Julio,580,Panamá,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,20000,16,28014.4,20
2011,Julio,607,Portugal,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,166000,172.26,303366.09,166
2011,Julio,607,Portugal,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,23080,24.84,43787.14,23.08
2011,Julio,647,República Dominicana,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,21450,38.41,67671.68,21.45
2011,Julio,647,República Dominicana,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,40500,10.94,19327.28,40.5
2011,Julio,647,República Dominicana,11,Bogotá,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,2500,2.1,3698.39,2.5
2011,Julio,647,República Dominicana,11,Bogotá,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,50000,12.94,22745.37,50
2011,Julio,647,República Dominicana,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,129000,59.92,105960.19,129
2011,Julio,767,Suiza,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,24000,27.12,47909.38,24
2011,Julio,815,Trinidad y Tobago,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,44000,44,77780.78,44
2011,Julio,196,Costa Rica,8,Atlántico,1102200000 - Harina de maíz.,Maiz,Harinas,KG,21000,16.31,28695.98,21
2011,Julio,249,Estados Unidos,8,Atlántico,1102200000 - Harina de maíz.,Maiz,Harinas,KG,57885,48.73,85811.68,57.88
2011,Julio,249,Estados Unidos,76,Valle del Cauca,1005901100 - Maíz duro amarillo.,Maiz,Maíz,KG,51,0.15,266.97,0.05
2011,Julio,493,México,76,Valle del Cauca,1005100000 - Maíz para la siembra.,Maiz,Maíz,KG,100,0.03,44.06,0.1
2011,Junio,249,Estados Unidos,11,Bogotá,1103130000 - Grañones y sémola de maíz.,Maiz,Sémolas,KG,9.18,0.46,820.6,0.01
2011,Junio,249,Estados Unidos,11,Bogotá,1104230000 - Granos trabajados (por ejemplo: mondados- perlados- troceados o quebrantados)- de maíz.,Maiz,Maíz,KG,54,0.08,143.31,0.05
2011,Junio,249,Estados Unidos,11,Bogotá,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,6250,32.36,58174.45,6.25
2011,Junio,317,Guatemala,68,Santander,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,27000,8.57,15316.37,27
2011,Junio,97,Bolivia,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,56000,75.4,133454.3,56
2011,Junio,196,Costa Rica,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,211500,212.56,379431.91,211.5
2011,Junio,211,Chile,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,104000,31.2,55693.56,104
2011,Junio,211,Chile,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,50000,68.5,122221.47,50
2011,Junio,239,Ecuador,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,20000,5.41,9617.03,20
2011,Junio,239,Ecuador,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,16600,16.73,29686.58,16.6
2011,Junio,249,Estados Unidos,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,331.02,1.29,2280.36,0.33
2011,Junio,580,Panamá,25,Cundinamarca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,18082.4,22.24,39454.29,18.08
2011,Junio,580,Panamá,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,36708.4,41.08,73689.16,36.71
2011,Junio,580,Panamá,76,Valle del Cauca,1108120000 - Almidón de maíz.,Maiz,Almidones,KG,371250,221.64,395906.03,371.25
2011,Junio,589,Perú,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,9000,12.72,22753.7,9
2011,Junio,589,Perú,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,17000,13.9,24854.73,17
2011,Junio,589,Perú,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,40875,52.35,94122.24,40.88
2011,Junio,589,Perú,76,Valle del Cauca,1005100000 - Maíz para la siembra.,Maiz,Maíz,KG,44145.56,221.21,395233.61,44.15
2011,Junio,776,Tailandia,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,50000,14.88,26488.78,50
2011,Junio,239,Ecuador,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,149830,41.81,74330.51,149.83
2011,Junio,239,Ecuador,11,Bogotá,1108120000 - Almidón de maíz.,Maiz,Almidones,KG,22803,44.22,79127.53,22.8
2011,Junio,239,Ecuador,11,Bogotá,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,50000,42,74547.48,50
2011,Junio,239,Ecuador,11,Bogotá,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,50410,13.68,24283,50.41
2011,Junio,239,Ecuador,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,144400,78.37,139555.91,144.4
2011,Junio,239,Ecuador,76,Valle del Cauca,1108120000 - Almidón de maíz.,Maiz,Almidones,KG,400000,268.2,479126.33,400
2011,Junio,239,Ecuador,76,Valle del Cauca,1515290000 - Los demás aceites de maíz y sus fracciones- incluso refinados- pero sin modificar químicamente.,Maiz,Aceite de maíz,KG,49420,105.93,189875.53,49.42
2011,Junio,239,Ecuador,76,Valle del Cauca,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,90680,80.31,142859.41,90.68
2011,Junio,27,Aruba,68,Santander,1102200000 - Harina de maíz.,Maiz,Harinas,KG,80,0.05,85.64,0.08
2011,Junio,23,Alemania,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,22000,24.16,43008.36,22
2011,Junio,27,Aruba,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,22000,22,38936.26,22
2011,Junio,47,Antillas Holandesas,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,44000,44,78327.04,44
2011,Junio,69,Australia,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,20000,21.68,38369.91,20
2011,Junio,83,Barbados,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,17500,17.9,31982.47,17.5
2011,Junio,149,Canadá,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,4000,4,7090.36,4
2011,Junio,211,Chile,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,43450,64.77,115557.45,43.45
2011,Junio,211,Chile,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,22000,22,39163.52,22
2011,Junio,245,España,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,373875,408.2,724168.3,373.88
2011,Junio,245,España,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,21500,23.11,41256.97,21.5
2011,Junio,249,Estados Unidos,5,Antioquia,1104230000 - Granos trabajados (por ejemplo: mondados- perlados- troceados o quebrantados)- de maíz.,Maiz,Maíz,KG,3799.68,2.51,4496.79,3.8
2011,Junio,249,Estados Unidos,11,Bogotá,1102200000 - Harina de maíz.,Maiz,Harinas,KG,54000,54,96128.64,54
2011,Junio,267,Filipinas,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,1600,13.17,23566.53,1.6
2011,Junio,317,Guatemala,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,22160,45.15,80581.27,22.16
